"station","J","F","M","A","M","J","J","A","S","O","N","D"
"USC00502785","32","32","32","33","32","36","33","35","29","26","30","30"
"USC00503009","16","16","15","14","16","15","14","13","14","13","10","13"
"USC00503072","15","20","22","32","36","30","29","27","30","34","22","17"
"USC00503085","15","21","19","19","19","19","16","16","20","20","18","16"
"USC00503125","14","13","17","11","10","2","1","4","2","11","14","15"
"USC00503163","15","18","20","20","21","21","19","20","21","20","18","13"
"USC00503275","27","27","28","24","24","23","23","23","28","22","28","26"
"USC00503283","9","11","9","6","6","4","5","3","5","5","8","10"
"USC00503294","25","25","28","26","21","22","23","23","23","30","16","23"
"USC00503299","33","32","33","33","33","31","34","31","33","34","32","33"
"USC00503304","26","30","30","34","34","32","31","28","27","29","24","21"
"USC00503454","14","12","16","21","22","22","21","20","20","19","20","18"
"USC00503500","12","15","16","23","23","25","26","24","23","21","7","5"
"USC00503504","20","21","20","22","22","22","22","21","22","22","21","20"
"USC00503530","8","10","3","7","11","9","10","6","8","7","10","4"
"USC00503573","20","22","20","22","28","24","23","27","27","24","23","21"
"USC00503581","1","1","1","3","2","2","1","2","4","4","3","0"
"USC00503585","20","21","21","21","21","17","20","21","20","13","25","15"
"USC00503605","8","8","6","9","6","5","5","6","6","6","5","7"
"USC00503650","6","9","9","11","10","16","18","15","14","16","12","9"
"USC00503655","42","43","43","44","46","45","38","40","49","47","49","42"
"USC00503670","20","21","21","22","22","22","22","22","20","21","21","20"
"USC00503672","30","31","33","33","31","30","31","30","28","31","32","30"
"USC00503682","19","21","18","19","18","17","16","19","15","15","15","14"
"USC00503695","14","14","14","8","14","17","14","15","18","11","15","15"
"USC00503720","13","19","19","21","21","22","21","19","21","20","14","13"
"USC00503731","0","0","0","0","0","1","2","0","0","2","0","0"
"USC00503765","10","13","7","16","17","17","19","18","19","8","7","9"
"USC00503821","6","11","6","9","9","10","9","7","9","5","9","8"
"USC00503933","44","45","45","44","46","45","46","45","46","41","42","44"
"USC00504092","11","13","14","20","30","27","30","29","28","27","17","15"
"USC00504094","21","18","22","25","24","28","25","25","19","22","21","22"
"USC00504155","13","15","11","13","12","11","13","12","9","14","9","7"
"USC00504425","48","48","48","50","43","47","48","46","50","45","43","41"
"USC00504444","5","4","5","5","5","4","3","1","3","5","5","4"
"USC00504550","18","17","15","17","16","15","16","14","18","15","14","16"
"USC00504555","21","20","22","23","17","12","10","12","11","23","18","17"
"USC00504689","11","7","10","6","3","1","0","1","0","1","8","10"
"USC00504812","38","44","40","41","48","48","48","46","48","47","41","42"
"USC00504964","12","15","15","14","13","14","13","13","15","15","14","15"
"USC00504984","29","21","23","21","23","20","21","20","23","24","21","20"
"USC00505136","27","28","27","28","27","27","27","27","22","25","26","26"
"USC00505425","6","3","7","7","8","6","7","5","6","10","8","7"
"USC00505454","18","16","18","18","21","14","17","13","14","17","19","13"
"USC00505464","26","27","26","26","26","27","26","27","28","25","25","28"
"USC00505499","10","10","8","15","17","19","20","18","19","16","14","7"
"USC00505506","11","7","11","15","11","14","15","14","17","18","11","7"
"USC00505519","66","72","72","70","66","68","67","63","70","69","64","57"
"USC00505534","9","8","13","15","10","7","10","8","10","8","9","11"
"USC00505604","28","28","24","25","24","27","23","26","24","26","27","27"
"USC00505607","18","17","16","16","16","17","20","21","23","22","21","19"
"USC00505644","39","45","44","40","41","54","61","54","56","44","44","44"
"USC00505733","87","88","86","86","87","88","89","89","91","89","81","80"
"USC00505757","19","21","26","28","26","26","26","25","25","28","20","20"
"USC00505778","70","76","65","71","68","63","64","65","63","65","71","65"
"USC00505894","20","25","23","24","28","25","21","27","31","32","26","22"
"USC00506147","17","20","22","23","23","27","28","28","28","21","19","15"
"USC00506419","3","2","1","1","3","3","3","3","5","3","2","1"
"USC00506441","3","3","3","3","3","4","4","3","3","2","4","3"
"USC00506581","37","41","43","40","39","38","37","42","40","41","41","37"
"USC00506656","9","13","14","14","10","9","6","5","12","13","10","11"
"USC00506727","4","5","7","4","10","14","13","15","13","6","8","7"
"USC00506760","12","12","12","15","12","14","13","12","15","13","15","12"
"USC00506777","25","24","24","26","25","26","26","26","25","25","26","25"
"USC00506870","45","44","44","45","48","47","48","48","50","43","47","46"
"USC00506871","17","19","21","22","23","23","23","23","22","20","19","17"
"USC00507095","7","7","5","4","6","4","6","7","9","6","6","7"
"USC00507097","11","5","7","22","14","19","20","15","7","10","17","7"
"USC00507141","16","22","24","23","24","22","23","25","24","25","24","21"
"USC00507365","17","17","16","15","19","21","17","20","16","19","17","15"
"USC00507431","2","3","5","6","5","8","7","7","6","4","4","3"
"USC00507444","5","7","5","7","6","5","6","7","7","7","6","8"
"USC00507451","13","10","13","20","21","22","22","21","21","21","20","13"
"USC00507513","13","13","13","17","18","16","18","14","17","16","13","17"
"USC00507557","36","36","38","40","37","42","39","37","31","38","38","33"
"USC00507570","35","39","42","40","49","50","51","49","52","44","35","39"
"USC00507669","6","8","7","6","7","13","10","11","9","7","8","6"
"USC00507738","22","23","19","20","22","19","16","14","20","25","22","14"
"USC00507783","48","53","52","53","55","55","53","51","53","43","49","49"
"USC00507891","14","14","13","18","13","11","11","11","15","16","10","15"
"USC00507977","9","12","12","12","11","9","10","12","9","8","9","8"
"USC00508039","8","6","3","5","7","2","4","3","5","6","4","6"
"USC00508054","14","14","14","12","18","19","18","13","17","16","15","15"
"USC00508114","3","2","1","2","2","3","0","2","2","3","6","6"
"USC00508140","18","23","21","22","19","16","18","20","22","18","18","20"
"USC00508183","8","12","8","11","10","11","11","14","11","12","5","9"
"USC00508239","4","7","6","7","7","5","5","6","4","3","3","3"
"USC00508350","5","4","5","4","3","2","0","0","1","1","1","3"
"USC00508375","8","12","13","9","7","20","17","17","12","16","6","9"
"USC00508377","22","23","23","21","22","24","23","24","23","21","22","24"
"USC00508437","19","19","17","16","17","13","7","10","17","20","15","18"
"USC00508463","6","6","8","5","9","4","4","5","6","5","6","7"
"USC00508503","39","40","39","38","39","38","38","39","41","39","38","40"
"USC00508512","5","2","6","10","17","16","14","16","14","12","5","7"
"USC00508525","30","28","27","34","25","30","27","28","28","33","36","25"
"USC00508547","21","21","25","24","20","28","28","23","24","13","16","16"
"USC00508554","5","7","6","1","2","3","3","3","4","6","7","5"
"USC00508584","6","5","4","6","5","7","7","7","7","7","7","7"
"USC00508594","27","28","29","32","28","28","33","31","33","33","30","26"
"USC00508625","20","18","22","23","24","23","24","21","24","22","22","20"
"USC00508666","22","23","24","24","26","22","23","19","24","24","23","23"
"USC00508745","5","6","6","5","5","6","5","3","4","4","4","4"
"USC00508813","6","4","5","3","4","5","5","6","4","3","5","4"
"USC00508915","29","29","29","22","33","21","34","28","30","28","27","25"
"USC00508945","20","20","19","22","20","22","20","21","22","18","21","19"
"USC00509102","15","16","14","13","18","17","15","19","20","12","14","16"
"USC00509139","0","0","0","0","0","13","13","16","9","0","1","1"
"USC00509146","15","17","16","14","2","1","1","2","2","10","17","19"
"USC00509313","38","43","40","38","38","33","40","42","40","45","42","38"
"USC00509385","40","34","41","36","36","36","40","40","43","38","37","36"
"USC00509399","19","24","20","24","27","27","26","27","26","32","22","20"
"USC00509410","21","22","20","19","20","20","23","18","17","18","18","20"
"USC00509460","18","16","19","17","18","18","15","15","19","19","16","15"
"USC00509494","5","4","7","5","2","4","4","3","4","6","6","6"
"USC00509641","73","77","84","82","81","77","74","75","81","76","73","75"
"USC00509685","19","21","21","20","23","23","20","21","22","21","21","19"
"USC00509759","30","36","39","35","45","42","45","46","48","34","33","28"
"USC00509790","24","28","24","33","32","32","32","34","35","26","26","24"
"USC00509798","13","11","11","9","12","8","5","3","5","14","10","13"
"USC00509829","39","41","38","44","48","46","44","46","47","42","42","38"
"USC00509861","5","9","9","7","8","12","11","13","13","7","6","3"
"USC00509869","22","23","26","23","27","28","27","26","30","22","25","23"
"USC00509883","2","2","3","1","4","3","6","7","2","4","2","3"
"USC00509911","4","4","4","5","8","6","7","6","7","3","3","2"
"USC00509919","59","67","65","69","60","54","53","61","58","60","56","57"
"USW00025308","67","66","67","67","67","66","67","65","65","65","67","66"
"USW00025309","64","65","64","64","64","63","64","64","63","62","63","64"
"USW00025322","46","42","48","44","44","47","45","47","45","48","46","43"
"USW00025323","23","25","23","23","19","16","17","18","18","22","23","24"
"USW00025325","48","51","47","47","60","57","55","55","58","54","50","46"
"USW00025329","62","65","68","65","57","59","55","59","59","62","60","55"
"USW00025333","51","49","50","50","51","50","50","49","50","51","52","50"
"USW00025339","79","82","81","79","79","77","79","76","80","80","80","79"
"USW00025501","59","58","59","59","60","58","61","61","62","59","57","60"
"USW00025503","73","75","75","76","70","69","68","64","71","71","74","73"
"USW00025506","52","54","53","51","53","48","51","53","53","52","53","49"
"USW00025507","62","63","62","62","63","63","62","61","61","61","63","62"
"USW00025508","14","16","15","18","23","28","30","30","32","23","17","12"
"USW00025602","2","2","2","3","5","4","3","5","6","5","2","2"
"USW00025624","57","59","59","59","59","60","61","61","59","60","60","59"
"USW00025704","49","49","50","48","46","45","45","45","46","46","47","47"
"USW00025713","60","61","61","60","60","60","60","61","61","62","62","61"
"USW00026401","44","45","44","45","43","45","43","44","43","44","45","43"
"USW00026407","20","20","21","22","22","21","22","22","22","22","20","19"
"USW00026409","33","35","35","36","30","29","29","30","33","33","32","33"
"USW00026410","72","74","77","78","77","65","66","69","67","69","69","72"
"USW00026411","63","63","63","63","63","63","64","64","63","63","64","64"
"USW00026412","52","56","56","56","53","54","55","55","60","58","57","55"
"USW00026413","45","47","48","45","44","42","40","42","44","42","43","42"
"USW00026414","30","33","35","34","36","35","33","34","33","33","33","31"
"USW00026415","52","50","50","51","50","50","52","52","52","53","52","52"
"USW00026422","46","46","48","44","49","49","51","51","48","46","49","48"
"USW00026425","59","58","60","58","54","54","54","54","56","59","55","58"
"USW00026435","46","49","47","42","37","34","39","38","39","40","44","43"
"USW00026438","67","78","77","79","72","68","65","61","65","74","75","70"
"USW00026439","13","12","12","11","14","12","17","14","17","13","10","15"
"USW00026440","15","18","19","18","20","20","18","17","17","18","14","18"
"USW00026442","64","66","63","62","63","56","55","55","56","67","69","67"
"USW00026445","27","28","29","29","25","23","23","26","27","25","28","27"
"USW00026451","57","57","58","57","58","57","58","58","58","58","58","58"
"USW00026508","33","33","34","31","28","31","32","29","30","27","30","31"
"USW00026510","70","70","69","70","70","71","71","69","70","70","71","69"
"USW00026512","37","39","35","37","33","39","32","29","35","32","32","33"
"USW00026514","30","39","38","39","36","33","36","33","43","41","43","32"
"USW00026516","33","32","32","30","33","35","34","34","35","33","30","29"
"USW00026519","28","28","27","26","24","25","23","25","26","27","26","26"
"USW00026523","61","62","62","61","59","59","61","59","60","63","63","61"
"USW00026528","70","74","67","71","66","60","59","62","60","67","71","72"
"USW00026529","70","75","75","82","70","66","64","72","81","77","71","70"
"USW00026533","57","59","59","60","61","59","59","61","61","61","60","61"
"USW00026536","22","22","22","23","21","21","19","18","19","16","18","18"
"USW00026615","78","74","79","79","78","74","77","79","77","82","83","79"
"USW00026616","70","69","66","70","70","68","70","70","71","73","71","70"
"USW00026617","71","79","78","77","77","71","70","69","76","76","76","77"
"USW00026618","43","44","42","43","47","46","46","48","45","40","44","42"
"USW00026620","22","21","22","22","22","20","21","21","22","21","21","21"
"USW00026627","27","29","31","31","29","32","31","32","31","32","31","30"
"USW00026634","20","25","22","23","26","25","24","27","27","22","21","18"
"USW00026703","15","14","13","14","15","15","14","14","16","14","13","15"
"USW00027401","39","40","40","39","40","40","40","39","40","40","40","40"
"USW00027502","85","83","84","83","84","80","81","81","86","85","83","82"
"USW00027503","8","8","8","6","7","9","8","11","6","4","6","7"
"USW00045715","40","40","39","37","40","39","39","37","39","40","41","42"
